spec,mae,rmse,mae_quiet,mae_event,rmse_quiet,rmse_event,directional_accuracy,n,n_quiet,n_event,largest_error_share_of_sse,net_savings_brl,triggered,precision,largest_event_share
paridade,0.050491614465576776,0.10668432453868651,0.016900484291696504,0.07855008790493559,0.027665886278210036,0.14229949965776797,0.7428571428571429,156,71,85,0.28776673964632804,45161.53846153847,53,0.6415094339622641,0.21435871231476758
paridade+press,0.05132152418536108,0.10487696185308128,0.019558837786818186,0.07785270929473219,0.031477323347518564,0.13913697347879367,0.7285714285714285,156,71,85,0.27981196705104794,49211.53846153847,63,0.6349206349206349,0.19671746776084414
paridade+press+dpress,0.05107998477254362,0.10490262289883545,0.01978221593220365,0.07722282698035701,0.03121864867159991,0.13922113259289368,0.7428571428571429,156,71,85,0.2807313751355032,49026.923076923085,62,0.6290322580645161,0.1974582254648153
press_only,0.05383871704097361,0.11193191188527135,0.014890771597719406,0.0863717067641624,0.0256921796405158,0.14980847370250328,0.6571428571428571,156,71,85,0.2916866612826059,45657.692307692305,47,0.6382978723404256,0.21202931513773074
paridade@gate_press,0.05177044289198633,0.10759295158008393,0.016893711043185447,0.08090277184804352,0.027684050201794583,0.143546634058498,0.6928571428571428,156,71,85,0.2829268581548604,45161.53846153847,53,0.6415094339622641,0.21435871231476758
