candidate_id,fold_id,mse,rmse,mae,smape,base_rmse,naive_rmse,rmse_ratio_vs_base,rmse_ratio_vs_naive,elapsed_seconds,correction_latency_ms_p95,max_rules,max_dictionary_size,dictionary_replacements,dictionary_replacement_rate,correction_weight,correction_limit
hybrid_lags_paper,validation_1,0.027240648912077028,0.16504741413326363,0.08035575694319348,1.2627487668389974,0.16545462374769737,0.1675141785043881,0.997538844154306,0.9852742950289437,1.1430657999990217,0.80563,9,20,122,0.2850467289719626,1.0,
hybrid_lags_paper,validation_2,0.008203030051241374,0.09057058049522138,0.061662304990543405,1.0531018565426185,0.08441356213009261,0.09289158279330884,1.0729387341294752,0.9750138577867504,1.1131127000007837,1.09219,9,20,107,0.22291666666666668,1.0,
hybrid_lags_paper,validation_3,0.0024481685268521176,0.04947897055166081,0.026254649094037238,0.43696258931504256,0.065304305620097,0.08187701847188959,0.7576678150365933,0.604308406377159,1.238503700000365,1.34092,11,20,118,0.22180451127819548,1.0,
hybrid_lags_conservative,validation_1,0.027331328768603072,0.16532189440180955,0.07960899064691601,1.251694352036868,0.16545462374769737,0.1675141785043881,0.999197790047317,0.98691284449978,0.9033256000002439,1.208815,14,20,69,0.16121495327102803,0.5,0.1
hybrid_lags_conservative,validation_2,0.007463897297990648,0.08639384988522417,0.055058922344382956,0.9259440214699497,0.08441356213009261,0.09289158279330884,1.0234593554064175,0.9300503585718564,1.0452109000016208,1.427645,12,20,95,0.19791666666666666,0.5,0.1
hybrid_lags_conservative,validation_3,0.004454744966240329,0.06674387587067693,0.02916938432826576,0.48680835986683896,0.065304305620097,0.08187701847188959,1.0220440327312341,0.8151722805293863,1.21062609999899,1.2048849999999998,11,20,108,0.20300751879699247,0.5,0.1
hybrid_lags_adaptive,validation_1,0.02734139964092052,0.1653523499709651,0.079868227176645,1.255832649481534,0.16545462374769737,0.1675141785043881,0.9993818620814838,0.9870946534035244,0.9179168999999092,0.9132399999999999,10,30,69,0.16121495327102803,0.75,0.15
hybrid_lags_adaptive,validation_2,0.009613605754292685,0.09804899670212176,0.0690057651177105,1.1931934906009762,0.08441356213009261,0.09289158279330884,1.1615313253931296,1.055520788361294,1.3564370999993116,1.08001,8,30,90,0.1875,0.75,0.15
hybrid_lags_adaptive,validation_3,0.005248021165349107,0.07244322718756466,0.03505801185712477,0.5802187104601859,0.065304305620097,0.08187701847188959,1.1093177777434433,0.884780962223682,1.4696187999998074,0.935095,8,30,96,0.18045112781954886,0.75,0.15
hybrid_dynamics_paper,validation_1,0.027088394931633,0.1645855246722293,0.07875866950205021,1.2400261719979513,0.16545462374769737,0.1675141785043881,0.9947472058756524,0.9825169794085098,1.249856099999306,1.9768649999999999,18,20,141,0.3294392523364486,1.0,
hybrid_dynamics_paper,validation_2,0.006638464595607147,0.08147677335049018,0.049620972578701454,0.8295441687465797,0.08441356213009261,0.09289158279330884,0.9652095148516959,0.8771168592506652,1.4275487000013527,1.77233,14,20,194,0.4041666666666667,1.0,
hybrid_dynamics_paper,validation_3,0.004251379496991511,0.06520260345255786,0.027695842087789455,0.46308678998729813,0.065304305620097,0.08187701847188959,0.9984426422335646,0.7963480433150303,1.8987987999989855,1.9188349999999998,15,20,217,0.40789473684210525,1.0,
