model,mean_rmse,worst_rmse,mean_mae,mean_smape
ARIMA+VS residual,0.10456014851226236,0.16512128945476853,0.05255151920812761,0.8535558905086441
ARIMA,0.10505749716596231,0.16545462374769737,0.052735253331239136,0.8572169921013381
VS atual,0.10815886731320519,0.16614577394176755,0.057490432718012595,0.9444304178617898
VS next,0.10815886731320519,0.16614577394176755,0.057490432718012595,0.9444304178617898
persistência,0.11409425992319551,0.1675141785043881,0.05594871794871794,0.9211420485602444
