modelo,janela,disparos,acerto_disparo,fator_lucro,retorno_sobre_gasto,acerto_movimento,acerto_evento,preco_ate_2c,preco_ate_5c,cobertura
paridade,"holdout nacional, 104 semanas",26,0.6538461538461539,56.999999999999524,0.0006355836019430698,0.7183098591549296,0.8,0.6826923076923077,0.9326923076923077,0.8942307692307693
ARIMA,"holdout nacional, 104 semanas",8,0.75,inf,0.0005561356517001861,0.5915492957746479,0.8,0.7211538461538461,0.8942307692307693,
persistencia,"holdout nacional, 104 semanas",0,,,0.0,0.0,0.0,0.6634615384615384,0.9134615384615384,
RS nacional+spread,"desenvolvimento RS, 156 semanas",60,0.6,7.153374233128831,0.0010797299275730511,0.6956521739130435,0.7471264367816092,0.3717948717948718,0.7051282051282052,
RS direto,"desenvolvimento RS, 156 semanas",56,0.5178571428571429,4.874413145539911,0.0008883819767992626,0.6521739130434783,0.6896551724137931,0.3717948717948718,0.6923076923076923,
RS persistencia,"desenvolvimento RS, 156 semanas",0,,,0.0,0.0,0.0,0.4423076923076923,0.7243589743589743,
