candidate_id,mean_rmse,worst_rmse,mean_mae,mean_smape,mean_rmse_ratio_vs_current,worst_rmse_ratio_vs_current,mean_rmse_ratio_vs_arima,worst_rmse_ratio_vs_arima,replacement_rate,max_rules,max_dictionary_size,latency_ms_p95,beats_current_all_folds,beats_arima_all_folds,bounded_replacement_churn,eligible_for_future_shadow,selection_score
current_no_news,0.10474050477005291,0.16509143131717585,0.05238082163141986,0.8505228930284519,1.0,1.0,0.9949960557607925,0.9980081373931255,0.34150943396226413,20,20,2.5904849999999997,False,True,True,False,1.2
news_impact_sigma015,0.10492559924654594,0.1651877498243568,0.052277745181655066,0.8491369109846799,1.0021156708299666,1.0045468660950272,0.9970938955990901,0.9991514817845977,0.34507042253521125,20,20,3.1243499999999997,False,True,True,False,1.2032379594956755
news_core_sigma015,0.10495293558635865,0.16525545580753093,0.0522100226728321,0.8479587062426851,1.0022726010606606,1.0051347533653932,0.9972487688230441,0.9989996956757091,0.4716981132075472,20,20,3.00915,False,True,False,False,1.2035478870840306
news_all_sigma030,0.1049020869023109,0.16496072207704318,0.05232027183416779,0.850148596476405,1.0021340659397495,1.0081036065714342,0.9971016751245202,0.9972179759398987,0.47735849056603774,20,20,3.1387049999999994,False,True,False,False,1.2042717982644706
news_core_sigma030,0.10498388738610366,0.1649246803867827,0.05252257573611091,0.8523438564531949,1.003178021300544,1.0115825530993148,0.9981331574213429,1.0004983997767243,0.38113207547169814,20,20,3.09692,False,False,True,False,1.2062223871085953
