uf,postos,peso_proprio,mae_local,mae_pooled,mae_postos,ganho_pooled,decidivel_pooled,ganho_postos,decidivel_postos
SP,1013.0,0.9386838555942068,0.04945412419113151,0.0494292198294461,0.049438996686621293,0.0005035851325393415,True,0.000305889645355939,False
MG,368.5,0.9059728191619746,0.058432454915595816,0.05850493890988053,0.05755610761065013,-0.001240474910551237,False,0.014997612306577701,True
RS,261.5,0.957738148010765,0.057293623060499246,0.05731000553152196,0.05726265078998006,-0.0002859388208948932,False,0.0005405884436123776,False
PR,231.5,0.9774238551426461,0.05538089214953025,0.05538494023564757,0.05539515353404848,-7.309535762600738e-05,False,-0.00025751453190259177,False
BA,199.0,0.8070740420119464,0.1132609052613181,0.11194516864173333,0.11144881317377639,0.01161686476502266,True,0.01599927250590849,True
SC,174.0,0.9423922206681707,0.05527050689958901,0.05523486172486067,0.055622660463411404,0.0006449221606217304,True,-0.006371455294632122,False
GO,117.0,0.8816382318400797,0.06632134079895487,0.06636148413760275,0.06614697890270164,-0.0006052853902571709,False,0.00262904661083041,True
PA,97.0,0.8997586224041095,0.07930766351858444,0.0792832093849738,0.08000558007203751,0.000308345152608247,False,-0.008800114925709757,False
MT,79.0,0.8566433214381196,0.0831983049388078,0.0839508410149637,0.0830965272462243,-0.009045089040087939,False,0.001223314497312833,False
RO,51.0,0.9042893793202372,0.06381617661836547,0.06349687147707735,0.0638735954187064,0.005003514127736586,False,-0.0008997530623668926,False
