candidate_id,mean_rmse,worst_rmse,mean_mae,mean_smape,mean_rmse_ratio_vs_current,worst_rmse_ratio_vs_current,mean_rmse_ratio_vs_arima,worst_rmse_ratio_vs_arima,replacement_rate,max_rules,max_dictionary_size,latency_ms_p95,beats_current_all_folds,beats_arima_all_folds,bounded_replacement_churn,eligible_for_future_shadow,selection_score
current_no_text_pressure,0.10474050477005291,0.16509143131717585,0.05238082163141986,0.8505228930284519,1.0,1.0,0.9949960557607925,0.9980081373931255,0.34150943396226413,20,20,2.786505,False,True,True,False,1.2
pressure_domain_28d,0.10501776938935913,0.16519599534122015,0.052381893820834774,0.8510308006858898,1.003293810023593,1.0067706202163207,0.9982630127215208,1.0004095995697986,0.4694835680751174,20,20,3.1866249999999994,False,False,False,False,1.2049628357106639
pressure_all_7d,0.10509442860514555,0.16541079843459133,0.05238656182459131,0.8510207672745937,1.0037346162755254,1.0075559184452632,0.9987006121635235,0.9999387704941499,0.45849056603773586,20,20,3.3322949999999985,False,True,False,False,1.2055769189405825
pressure_all_28d,0.10503038649961934,0.16508974551187275,0.052385212025271556,0.8512721240401309,1.0036542623439668,1.0085157804484677,0.9986175322077528,1.0003894197425938,0.41509433962264153,20,20,3.121365,False,False,False,False,1.2057961418147478
pressure_domain_7d,0.10514796159215663,0.1654185532657895,0.05245932844674483,0.8522179505665836,1.004400228125867,1.008955775641184,0.9993607017978444,1.000196050964216,0.330188679245283,20,20,2.977095,False,False,True,False,1.206586157106938
