candidate_id,fold_id,n,accuracy,balanced_accuracy,macro_f1,multiclass_brier,log_loss,expected_calibration_error,no_news_rate,mean_training_samples
pressure_domain_7d,validation_1,52,0.4807692307692308,0.4645495879511225,0.4727569514803558,0.7506727675465521,1.2550817868347468,0.33625378007802165,0.2692307692307692,452.5
pressure_domain_7d,validation_2,52,0.6153846153846154,0.3742690058479532,0.37762237762237755,0.6030103765287507,1.0237047262121275,0.21238046021854917,0.8269230769230769,504.5
pressure_domain_7d,validation_3,52,0.5769230769230769,0.5779761904761904,0.5775729646697388,0.6692458963716125,1.1445988924132762,0.2528979771588671,1.0,556.5
pressure_domain_28d,validation_1,52,0.6153846153846154,0.6160841148053424,0.620703933747412,0.6118278482684111,1.0376386363979277,0.2230573534451012,0.0,452.5
pressure_domain_28d,validation_2,52,0.6153846153846154,0.3742690058479532,0.3708513708513708,0.6008790945117082,1.023046407222768,0.18511657300820666,0.6153846153846154,504.5
pressure_domain_28d,validation_3,52,0.5769230769230769,0.5779761904761904,0.5775729646697388,0.66924151894816,1.1445920148303463,0.2528953046737093,1.0,556.5
pressure_all_7d,validation_1,52,0.5576923076923077,0.5542057402671213,0.5634284016636958,0.6384567040910352,1.0754916123768519,0.20768671125168991,0.0,452.5
pressure_all_7d,validation_2,52,0.6346153846153846,0.4159356725146199,0.4235857022234731,0.5516124549189448,0.9349907285886646,0.1646524517959945,0.5769230769230769,504.5
pressure_all_7d,validation_3,52,0.5769230769230769,0.5765873015873016,0.576404438473404,0.6488030551250521,1.1063339267579848,0.2242351471382353,0.8461538461538461,556.5
pressure_all_28d,validation_1,52,0.5961538461538461,0.5964762716680875,0.6015127605158622,0.6490636493782911,1.1046619376237405,0.23576011103394176,0.0,452.5
pressure_all_28d,validation_2,52,0.5961538461538461,0.31871345029239767,0.3264069264069264,0.6298899956510553,1.0732827316475497,0.2142646352382144,0.46153846153846156,504.5
pressure_all_28d,validation_3,52,0.5769230769230769,0.5779761904761904,0.5775729646697388,0.6727675855605059,1.1546536162624224,0.2641568369451465,0.7307692307692307,556.5
