candidate_id,fold_id,mse,rmse,mae,smape,base_rmse,naive_rmse,rmse_ratio_vs_base,rmse_ratio_vs_naive,elapsed_seconds,correction_latency_ms_p95,max_rules,max_dictionary_size,dictionary_replacements,dictionary_replacement_rate,correction_weight,correction_limit
current_no_text_pressure,validation_1,0.027255180694353794,0.16509143131717585,0.07874080594533978,1.2370228589967254,0.16542092707621348,0.1675141785043881,0.9980081373931255,0.9855370619439907,1.7013983000069857,2.786505,20,20,106,0.24882629107981222,0.5,0.1
current_no_text_pressure,validation_2,0.006944600436765901,0.08333426928200607,0.05100191208641739,0.8562197058481337,0.08425749896228736,0.09289158279330884,0.9890427594973533,0.8971132450981211,2.0197821999900043,2.315995,17,20,161,0.3368200836820084,0.5,0.1
current_no_text_pressure,validation_3,0.004329089101889561,0.06579581371097679,0.027399746862502426,0.45832611424049663,0.06593181321420953,0.08187701847188959,0.9979372703918988,0.803593180833351,2.4028668999962974,2.65488,20,20,181,0.34150943396226413,0.5,0.1
pressure_domain_7d,validation_1,0.02736329776454684,0.1654185532657895,0.07893390881726463,1.2400389748394909,0.16542092707621348,0.1675141785043881,0.9999856498783682,0.9874898635010546,2.022515899996506,2.87542,20,20,137,0.3215962441314554,0.5,0.1
pressure_domain_7d,validation_2,0.0070695460016731455,0.08408059230091773,0.0509361088528878,0.8565478991275468,0.08425749896228736,0.09289158279330884,0.9979004045509491,0.9051475900459544,2.246099399999366,2.977095,20,20,142,0.29707112970711297,0.5,0.1
pressure_domain_7d,validation_3,0.004348708629443613,0.0659447392097627,0.027507967670082047,0.4600669777327127,0.06593181321420953,0.08187701847188959,1.000196050964216,0.8054120733817776,2.496095200011041,2.964015,20,20,175,0.330188679245283,0.5,0.1
pressure_domain_28d,validation_1,0.027289716876776424,0.16519599534122015,0.07879036553013957,1.2381633851445357,0.16542092707621348,0.1675141785043881,0.9986402461951522,0.9861612719361113,2.439236100006383,3.0738499999999997,20,20,200,0.4694835680751174,0.5,0.1
pressure_domain_28d,validation_2,0.007038957290487676,0.08389849397031914,0.05080906076765985,0.8542337050205021,0.08425749896228736,0.09289158279330884,0.9957391923996116,0.9031872581717114,2.772374199994374,3.0077899999999995,20,20,219,0.4581589958158996,0.5,0.1
pressure_domain_28d,validation_3,0.004350565784949607,0.0659588188565381,0.027546255164704905,0.4606953118926315,0.06593181321420953,0.08187701847188959,1.0004095995697986,0.8055840342938648,2.7349369000003207,3.1866249999999994,20,20,202,0.38113207547169814,0.5,0.1
pressure_all_7d,validation_1,0.027360732238769007,0.16541079843459133,0.07892841368447673,1.2399604296792588,0.16542092707621348,0.1675141785043881,0.9999387704941499,0.9874435699200133,2.146267899996019,2.8471949999999997,20,20,160,0.3755868544600939,0.5,0.1
pressure_all_7d,validation_2,0.007049942586294524,0.0839639362243965,0.050841633862557106,0.8550107008832667,0.08425749896228736,0.09289158279330884,0.9965158859269933,0.9038917596142477,2.3490703999996185,3.3322949999999985,20,20,185,0.38702928870292885,0.5,0.1
pressure_all_7d,validation_3,0.0043439371155422225,0.06590855115644875,0.02738963792674009,0.4580911712612558,0.06593181321420953,0.08187701847188959,0.9996471800694272,0.8049700927871084,2.940607700002147,3.0553549999999996,20,20,243,0.45849056603773586,0.5,0.1
pressure_all_28d,validation_1,0.02725462407317491,0.16508974551187275,0.07867483423847046,1.2365551664175172,0.16542092707621348,0.1675141785043881,0.9979979463892852,0.9855269982865847,1.8892527999996673,3.121365,20,20,151,0.3544600938967136,0.5,0.1
pressure_all_28d,validation_2,0.007063381434131941,0.08404392562304512,0.05090297123832961,0.856046322684896,0.08425749896228736,0.09289158279330884,0.9974652304913794,0.9047528645307891,2.3800877000030596,3.0489449999999994,20,20,184,0.38493723849372385,0.5,0.1
pressure_all_28d,validation_3,0.004350390271279301,0.06595748836394015,0.02757783059901457,0.46121488301797975,0.06593181321420953,0.08187701847188959,1.0003894197425938,0.8055677844032021,2.7935679999936838,2.9580949999999997,20,20,220,0.41509433962264153,0.5,0.1
