modelo,mae,rmse,mae_quiet,mae_event,rmse_quiet,rmse_event,directional_accuracy,n,n_quiet,n_event,largest_error_share_of_sse,net_savings_brl,annualized_savings_brl,annualized_ci90,triggered,precision,largest_event_share,weeks_replayed,contiguous_blocks
persistencia,0.05973076923076919,0.1274827791286297,0.008536231884057888,0.10033333333333333,0.010888765650490505,0.17043247896177974,0.0,156,69,87,0.3026778001727614,0.0,0.0,"[0.0, 0.0]",0,,,154,2
rs_direto,0.05943714756839517,0.11969857117454283,0.01756640125433407,0.09264498085196085,0.022664386649048854,0.15900860757808533,0.6521739130434783,156,69,87,0.2925751952963148,38088.46153846153,12861.038961038957,"[4133.376623376611, 23012.92207792207]",56,0.5178571428571429,0.26537412905180263,154,2
nacional+carrego,0.057541078860425775,0.11399863104696809,0.01932612556386216,0.0878494900956314,0.025432813448374333,0.15096228414484145,0.6594202898550725,156,69,87,0.27879066913688144,43015.384615384595,14524.675324675318,"[5903.961038961019, 24530.844155844163]",53,0.5849056603773585,0.2349785407725324,154,2
nacional+spread,0.057293623060499246,0.11330809426096415,0.01983168850672057,0.08700481253418578,0.026497816281131768,0.14988093798266053,0.6956521739130435,156,69,87,0.2754628439830498,46292.30769230768,15631.168831168827,"[6712.012987012971, 26292.662337662336]",60,0.6,0.2183449651046861,154,2
nacional+spread+ancora,0.057402646323120476,0.1125851529380606,0.021651600492541438,0.0857569240508211,0.028702593069643925,0.14857639076655918,0.6884057971014492,156,69,87,0.2683931509365112,46892.30769230769,15833.766233766231,"[6884.025974025968, 26658.896103896102]",59,0.5932203389830508,0.21555118110236232,154,2
