fold,model,rmse,mae,median_abs_error,rmse_quiet,rmse_event,rmse_ratio_vs_naive,n
validation_1,pass_through,0.15805748327693867,0.07588360012356413,0.025929892480879957,0.03293199269997066,0.21704751429394725,0.9435468966753658,52
validation_1,arima,0.165437065781523,0.07938531069698739,0.025671139971288337,0.040495735572183854,0.22625881339089374,0.987600376628354,52
validation_1,persistencia,0.1675141785043881,0.07573076923076924,0.020000000000000462,0.009718024490604977,0.23228422882960212,1.0,52
validation_2,pass_through,0.07922454140727148,0.04888537915645422,0.03059090311647994,0.01601723324323771,0.09336519080072796,0.8528710462771679,52
validation_2,arima,0.08441648377518568,0.05127249410885281,0.025183905624426295,0.012509592877809452,0.09975809570950547,0.9087635417195881,52
validation_2,persistencia,0.09289158279330884,0.060576923076923035,0.040000000000000036,0.014605934866804159,0.10972939688406448,1.0,52
validation_3,pass_through,0.06444411740146992,0.025611762377322125,0.01283663692866055,0.012744636607018058,0.10021954549612272,0.7870843199254401,52
validation_3,arima,0.0653156878105999,0.027572955610784895,0.014276974460881053,0.01299961040013094,0.10155939990016633,0.7977291922644252,52
validation_3,persistencia,0.08187701847188959,0.03153846153846155,0.019999999999999574,0.011071614388213103,0.12813683162560097,1.0,52
