date,actual,persistence,arima,cond_lower,cond_upper,cond_sigma,fixed_lower,fixed_upper
2021-08-22,4.67,4.674,4.677976177015391,4.6570039710761595,4.710163114409586,0.019641320301463816,4.646726365060371,4.714788058861291
2021-08-29,4.691,4.67,4.669616158124791,4.642831118543852,4.710944825097112,0.02518357973625659,4.6383663461697715,4.7064280399706915
2021-09-05,4.746,4.691,4.697139751215244,4.6679482571193045,4.742370568513837,0.0275694906592117,4.665889939260224,4.733951633061144
2021-09-12,4.762,4.746,4.763518503913931,4.745067366171138,4.792274236692632,0.017549553199998593,4.732268691958912,4.8021524041903545
2021-09-19,4.77,4.762,4.770263012275753,4.752096809287493,4.79860181772474,0.01728097366599292,4.739013200320733,4.808896912552176
2021-09-26,4.83,4.77,4.77256119284536,4.745384734333925,4.814983962660148,0.025842969083596595,4.74131138089034,4.811195093121783
2021-10-03,5.014,4.83,4.849208946340204,4.823109824517379,4.891282969804014,0.025058448702701998,4.817959134385185,4.888834237329412
2021-10-10,5.033,5.014,5.07290743544329,5.047520564231668,5.116155418058703,0.025069109998843722,5.041657623488271,5.113791587974484
2021-10-17,5.048,5.033,5.039082833007732,5.007795959474183,5.0895957553795945,0.029529627264750676,5.00717916361643,5.079966985538926
2021-10-24,5.29,5.048,5.052802236585051,5.029477701946718,5.090522232370792,0.02206185257428329,5.020898567193749,5.093686389116245
2021-10-31,5.425,5.29,5.367476083572153,5.334715415680486,5.422982568334034,0.0322275514496833,5.3355724141808505,5.408360236103347
2021-11-07,5.45,5.425,5.4682201292654575,5.438978471694365,5.519179212737891,0.02898484171562936,5.4363164598741545,5.509104281796651
2021-11-14,5.448,5.45,5.458003727641752,5.432062146899384,5.503485019625047,0.02590117928330321,5.42610005825045,5.498887880172946
2021-11-21,5.447,5.448,5.447359701788661,5.423408058445936,5.489559346031258,0.02405250620118201,5.415456032397358,5.488243854319855
2021-11-28,5.446,5.447,5.44667985089433,5.425074469882632,5.484942232290533,0.021784686684264556,5.4147761815030275,5.487564003425524
2021-12-05,5.435,5.446,5.445679850894329,5.405123921713445,5.517844190035875,0.04100893236972787,5.413776181503026,5.4865640034255225
2021-12-12,5.419,5.435,5.431478359837629,5.4090596984431905,5.471334674658014,0.022773330996467424,5.399574690446327,5.472362512368823
2021-12-19,5.413,5.419,5.413877614309278,5.384304175937731,5.466714801351673,0.0301626606102689,5.381973944917975,5.4547617668404715
2021-12-26,5.41,5.413,5.409410698180501,5.388065544984892,5.447468389093478,0.021693678099730523,5.377507028789198,5.450294850711694
2022-01-02,5.426,5.41,5.407977086875171,5.383968168665091,5.450979047887663,0.024413878020532284,5.376305213135097,5.448861239406364
2022-01-09,5.492,5.426,5.430105884855331,5.408182112675412,5.469279942809446,0.022283531392410877,5.398434011115257,5.470990037386525
2022-01-16,5.638,5.492,5.512867910513105,5.4775415859213075,5.576524370105599,0.036264431290039,5.481196036773031,5.55792362459676
2022-01-23,5.646,5.638,5.687883448409538,5.661150378581741,5.738018377760855,0.028036520077940368,5.656211574669464,5.73637777306268
2022-01-30,5.646,5.646,5.664122686605018,5.640603065593506,5.705750648177426,0.023342972328969102,5.632450812864944,5.712617011258159
2022-02-06,5.653,5.646,5.651722123613542,5.628684039387874,5.692751845790419,0.023033860107687914,5.620050249873468,5.7002164482666835
2022-02-13,5.653,5.653,5.65688248982794,5.626252103666651,5.711735369031499,0.030744948014141505,5.627581933972821,5.705376814481081
2022-02-20,5.651,5.653,5.654225871594426,5.6301349920020565,5.697781953804718,0.024314755805726073,5.624925315739307,5.702720196247567
2022-02-27,5.668,5.651,5.650793985339349,5.6251042850047055,5.697513752875062,0.02599535559987428,5.62149342948423,5.69928830999249
2022-03-06,5.912,5.668,5.672976096977481,5.647615963854735,5.719323910368953,0.02578601049542267,5.643675541122362,5.721470421630622
2022-03-13,6.751,5.912,5.985926425949574,5.915870466586876,6.120153495944841,0.07523267688829216,5.956625870094455,6.03524945675748
2022-03-20,6.674,6.751,7.023137124100197,6.895190520355399,7.2785361642874955,0.09431931590711222,6.993836568245078,7.073334553126656
2022-03-27,6.73,6.674,6.588667955993956,6.42728179165272,6.92001397511775,0.097671650046657,6.556996082253882,6.638865385020415
2022-04-03,6.73,6.73,6.77049868225076,6.619652862102946,7.067294237431995,0.09027460668344534,6.7388268085106855,6.824522608439011
2022-04-10,6.722,6.73,6.718395106887595,6.346175722204951,7.478597321826238,0.22744019287835823,6.684777007754351,6.772419033075846
2022-04-17,6.733,6.722,6.723032981739803,6.605148308525064,6.932411281246739,0.08548212846042369,6.68941488260656,6.7770569079280545
2022-04-24,6.741,6.733,6.735856048027508,6.5838082920664425,7.017428044453049,0.11924884943522131,6.702237948894265,6.78987997421576
2022-05-01,6.775,6.741,6.74247399889326,6.6440182235226315,6.925389071575549,0.08133993730563652,6.7088558997600165,6.796497925081511
2022-05-08,6.97,6.775,6.784320322174449,6.671240491609786,6.997796173425171,0.09447046347360372,6.7507022230412055,6.8383442483627
2022-05-15,7.07,6.97,7.0232064920278,6.887696008160237,7.279745961674765,0.11286653243171324,6.989588392894556,7.080676270969998
2022-05-22,7.05,7.07,7.083408674756615,7.025900706074583,7.188941205115737,0.04752244994126836,7.049790575623372,7.1408784536988135
2022-05-29,7.01,7.05,7.040426747784605,6.959865824677435,7.189390532415194,0.06711384025868194,7.006267176861233,7.097896526726803
2022-06-05,7.01,7.01,7.001281218642815,6.920429128742265,7.155731084691513,0.0684158184281073,6.967121647719442,7.058750997585013
2022-06-12,7.03,7.01,7.012498365875069,6.925767968808622,7.17987625205361,0.07468364906676278,6.978338794951696,7.069968144817267
2022-06-19,7.68,7.03,7.035015091406054,6.9491925486601,7.2044565682018975,0.07631224743739592,7.0008555204826814,7.092484870348252
2022-06-26,7.67,7.68,7.86118111132634,7.720261419001256,8.118173349970428,0.10456850231770713,7.827021540402968,7.918693444905141
2022-07-03,7.63,7.67,7.667212598287287,7.546273643204958,7.862898866096814,0.0781083021046804,7.63120344476055,7.724724931866088
2022-07-10,7.58,7.63,7.618850393149148,7.463675868439699,7.874662305101852,0.10166812285785191,7.581690174023832,7.67636272672795
2022-07-17,7.55,7.58,7.566062991436436,7.406088011412028,7.845195035107091,0.11298617838599392,7.528336297677506,7.623575325015237
2022-07-24,7.51,7.55,7.54163779486186,7.460791372670126,7.700735513490253,0.06517525901978745,7.50391110110293,7.599150128440661
2022-07-31,7.47,7.51,7.498850393149148,7.376739545527373,7.746411127882508,0.10041039184892656,7.461123699390218,7.556362726727949
2022-08-07,7.31,7.47,7.458850393149148,7.381518072796312,7.605338186027536,0.06326948192840966,7.421123699390218,7.51636272672795
2022-08-14,7.13,7.31,7.265401572596593,7.0450091376750095,7.639989631052115,0.1567112506732248,7.226855981406734,7.322913906175394
2022-08-21,7.01,7.13,7.079826769171167,6.9816648179438605,7.249318646929614,0.07449382192435199,7.040447854874948,7.137339102749969
2022-08-28,6.99,7.01,6.976551179447444,6.8302174358833225,7.232167347488702,0.11284714427451972,6.936348120600419,7.034063513026245
2022-09-04,6.96,6.99,6.984425196574574,6.884189201349576,7.172314823866855,0.08388873230204652,6.94422213772755,7.041937530153376
2022-09-11,6.94,6.96,6.9516377948618615,6.81768359758507,7.200623695351918,0.11258329442576295,6.9114347360148365,7.0091501284406625
2022-09-18,6.82,6.94,6.934425196574575,6.871435050266364,7.049315900695511,0.052666866666403675,6.894222137727551,6.991937530153377
2022-09-25,6.73,6.82,6.791084061977868,6.746052784487765,6.873039148002015,0.037677696243848355,6.749892996647719,6.848596395556669
2022-10-02,6.66,6.73,6.708313046483401,6.592352461199757,6.917448189682522,0.09659202789099604,6.66627552016249,6.765825380062202
2022-10-09,6.65,6.66,6.643132369487089,6.513535351862129,6.873919870753439,0.10826338676501508,6.600806485384483,6.70064470306589
2022-10-16,6.72,6.65,6.647590338498156,6.536010661082678,6.839698355667661,0.09308088505388151,6.60526445439555,6.705102672076958
2022-10-23,6.68,6.72,6.736867630512911,6.638473613187805,6.907325637599971,0.0827388234120825,6.694541746410305,6.794741289394347
2022-10-30,6.71,6.68,6.670361353992622,6.607473419740124,6.779793556144256,0.053229138108545945,6.624974748764457,6.728235012874057
2022-11-06,6.71,6.71,6.7172289845055335,6.619300348157221,6.887712738872104,0.0829769695270283,6.6718423792773685,6.775102643386969
2022-11-13,6.69,6.71,6.71,6.6616962442415275,6.793674793784981,0.04111645338757425,6.664613394771835,6.767873658881435
2022-11-20,6.68,6.69,6.685180676996311,6.6277034806991,6.7843072063788465,0.048603383458705754,6.639794071768146,6.742693010575113
2022-11-27,6.67,6.68,6.677590338498155,6.571906317996459,6.860336607656717,0.0893398037813398,6.63220373326999,6.735102672076957
2022-12-04,6.63,6.67,6.667590338498155,6.57363414137244,6.832424680824823,0.08097094404570633,6.62220373326999,6.725102672076957
2022-12-11,6.48,6.63,6.620361353992623,6.57694392451609,6.696519242647896,0.03737330976092511,6.574974748764458,6.677873687571424
2022-12-18,6.42,6.48,6.443855077472334,6.305262264772238,6.6858607316415775,0.11943309728793249,6.393345784585512,6.501367411051136
2022-12-25,6.38,6.42,6.405132920109166,6.3415979852456115,6.512281220542887,0.054009838758359234,6.3546236272223435,6.462645253687967
2023-01-01,6.51,6.38,6.370088613406111,6.351831988194679,6.400924512536039,0.015495968344370508,6.3195793205192885,6.427600946984912
2023-01-08,6.47,6.51,6.54221200643014,6.506981469592036,6.601524210492795,0.03013254810792674,6.491702713543318,6.600085665311576
2023-01-15,6.43,6.47,6.460088613406111,6.385435086147033,6.5834867709612395,0.06366237854582829,6.405302028504533,6.517962272287546
2023-01-22,6.38,6.43,6.420088613406111,6.356070151312072,6.5254872912902915,0.054553919063861325,6.365302028504533,6.477962272287546
2023-01-29,6.39,6.38,6.367610766757639,6.3019519099441705,6.475641340652273,0.05598435547359097,6.312824181856061,6.425484425639074
