residual_arima,residual_ridge,residual_persistence,residual_vs_epl_krls,residual_ensemble
-0.008166255639389775,-0.006754640894712338,-0.004000000000000448,-0.005285604168945746,-0.007302060198256299
0.02228192481211977,0.01568857701324955,0.020999999999999908,0.020990814264774116,0.021894591647916073
0.048269894736371555,0.05225502218954592,0.055000000000000604,0.05376067413193919,0.049917128555041934
-0.0016264661666482993,0.014436421753078577,0.015999999999999126,0.012939965725895064,0.00274346340111542
0.0028723007515214505,0.0001161257385620118,0.008000000000000007,0.005166798597962874,0.003560650105454144
0.057436150375760775,0.05080526032151944,0.0600000000000005,0.0575031401379702,0.057456247304424224
0.16477112781820313,0.18073326972792003,0.18400000000000016,0.1806575669136894,0.16953705954684928
-0.03996854135751082,0.026804643868937994,0.019000000000000128,0.01283934799138553,-0.024126174552841384
0.008910857142431006,-0.0019107410680607728,0.01499999999999968,0.009285244337712939,0.009023173301016207
0.23719278195455118,0.2251728486464648,0.242,0.23669037323524478,0.23704205933875944
0.05744354886675218,0.1404410555169635,0.1349999999999998,0.12716166629941572,0.07835898409655151
-0.018264962409042518,0.01468723337407063,0.025000000000000355,0.016309304579755768,-0.007892682312403032
-0.01001203007574869,-0.027741025769060457,-0.0019999999999997797,-0.01024644605402436,-0.01008235486923148
-0.009336633875492772,-0.055119189786734246,-0.001000000000000334,-0.008606763275069262,-0.009117672695365009
-0.0033675444076095573,-0.03723697282926253,-0.001000000000000334,-0.008066002733721156,-0.004777081905443126
-0.011460029281750828,-0.03761725785916514,-0.01100000000000012,-0.017596246179864217,-0.0133008943511852
-0.012884890669631055,-0.04160879801800377,-0.016000000000000014,-0.022105133644942043,-0.01565096356222373
-0.00025961838912724744,-0.0317492011092142,-0.005999999999999339,-0.011633722308170391,-0.003671849564839569
0.0006137655224085492,-0.0281189201385601,-0.0030000000000001137,-0.00828459421912342,-0.0020557424000511304
0.01804450359558185,-0.006905059258729196,0.016000000000000014,0.011008146247066364,0.01593359639102765
