product,horizon_weeks,split_date,mse,rmse,mae,smape,naive_rmse,final_rules,max_rules,rule_creations,rule_merges,mean_dictionary_size,max_dictionary_size,elapsed_seconds,learning_seconds,prediction_seconds,n_learning_updates,n_test_predictions
S10,2,2018-12-16,0.0025978403355692813,0.05096901348436402,0.0407695278365666,1.1267490120958878,0.05428529573773486,1,2,2,1,40.0,40,4.091085800000656,4.074440200001845,0.016435299996373942,371,75
S500,2,2018-12-16,0.012371484315211576,0.11122717435596202,0.07647545617054614,2.1565216184909697,0.05707527193686128,1,2,4,3,40.0,40,4.4534418000002916,4.43601129999297,0.017229200009751366,371,75
S10,4,2018-12-02,0.010288766289376137,0.10143355603239067,0.08266067892807312,2.2773145535610824,0.1026297552694474,1,2,6,5,40.0,40,4.445775999998659,4.42836530000568,0.01720950000344601,367,75
S500,4,2018-12-02,0.011198344445279996,0.10582223039267315,0.08698301044066169,2.4549524754344487,0.10745833301021065,1,2,4,3,40.0,40,4.226398500000869,4.209491000006892,0.01670469999407942,367,75
